Desc,ID,Subj object id,Obj object id
"Pfirt, Dorothea von (ID: 3979) hat Ehe mit Pfirt, Heinrich von (ID: 2946)",7178,3979,2946
"Hofenecker/Leo, Ursula (ID: 3993) hat Ehe mit Hofenecker, Urban (ID: 3994)",7193,3993,3994
"Helmschrott, Margarethe (ID: 4033) hat Ehe mit Helmschrott, Konrad (ID: 2230)",7315,4033,2230
"Fürstenberg, Anna von (ID: 4091) hat Ehe mit Staufen, Trudpert von (ID: 3878)",7440,4091,3878
"Blumenegg, verh. Haus, Beatrix von (ID: 4106) hat Ehe mit Haus, Hans Friedrich von (ID: 4105)",7453,4106,4105
"Andlau, Hartmann von (ID: 4115) hat Ehe mit Andlau, geb. Reich von Reichenstein, N. von (ID: 4116)",7471,4115,4116
"Grafeneck, verh. von Waldenburg, Ursula von (ID: 4183) hat Ehe mit Waldenburg, Friedrich von (ID: 1073)",7623,4183,1073
"Thun, verh. von Schellenberg, Tschwenna von (ID: 3291) hat Ehe mit Schellenberg, Clemens von (ID: 3190)",7632,3291,3190
"Thun, verh. von Habsberg, Benigna von (ID: 4188) hat Ehe mit Habsberg, Mang von (ID: 467)",7649,4188,467
"Neideck, N. von (ID: 4225) hat Ehe mit Neideck, Sigmund von (ID: 129)",7790,4225,129
"Calaus, Wenzel (ID: 1948) hat Ehe mit Schachner, verh. Calaus, Walburga (ID: 3726)",7797,1948,3726
"Vernstet, verh. von Freyberg, Johanna von (ID: 179) hat Ehe mit Freyberg (der Jüngere), Michael von (ID: 187)",7798,179,187
"Hofenecker/Leo, Ursula (ID: 3993) hat Ehe mit Leo, Ulrich (ID: 1590)",7799,3993,1590
"Klammer, Christoph (ID: 2237) hat Ehe mit Klammer, Margarethe (ID: 2236)",7800,2237,2236
"Ivano, verh. Klieber, Anna von (ID: 3712) hat Ehe mit Klieber, Reichart (ID: 86)",7801,3712,86
"Seibersdorf, verh. Gneus, Cäcilia (ID: 2530) hat Ehe mit Gneus, Vigilius (ID: 2294)",7802,2530,2294
"Schlandersberg, Anastasia von (ID: 3855) hat Ehe mit Schlandersberg, Ruhland von (ID: 3828)",7803,3855,3828
"Thun, verh. von Hack/Schintl/von Weineck, Dorothea von (ID: 3260) hat Ehe mit Schintl, Martin (ID: 2930)",7804,3260,2930
"Eicher, Anna (ID: 3807) hat Ehe mit Eicher, Hans (ID: 3666)",7806,3807,3666
"Fuchsmagen, Brigida (ID: 4229) hat Ehe mit Fuchsmagen, Sigmund (ID: 2389)",7828,4229,2389
"Ems, verh. Villenbach, Elisabeth von (ID: 1678) hat Ehe mit Villenbach (der Ältere), Klaus von (ID: 4232)",7846,1678,4232
"Ebenstetter, Adolf (ID: 4244) hat Ehe mit Fieger, verh. Ebenstetter, Magdalena (ID: 4242)",7865,4244,4242
"Brunner, verh. Eppaner von Eppburg, Anna (ID: 4249) hat Ehe mit Eppaner von Eppburg, Stefan (ID: 3585)",7890,4249,3585
"Ebenstetter, Adolf (ID: 4244) hat Ehe mit Fieger, verh. Ebenstetter, Magdalena (ID: 4242)",7893,4244,4242
"Annenberg, verh. Schenk von Schenkenstein, Helena von (ID: 3054) hat Ehe mit Schenk von Schenkenstein, Antoni (ID: 652)",7975,3054,652
"Maltitz, verh. von Neuhaus, Magdalena von (ID: 4281) hat Ehe mit Neuhaus, Hans von (ID: 1378)",8005,4281,1378
"Völseck, Amalia von (ID: 4311) hat Ehe mit Völseck, Leonhard von (ID: 1608)",8152,4311,1608
"Tumbritzer, N. (ID: 4316) hat Ehe mit Tumbritzer, Balthasar (ID: 2571)",8167,4316,2571
"Vierstetter, Walpurga (ID: 5325) hat Ehe mit Vierstetter, Konrad (ID: 5324)",8322,5325,5324
"Hofhaimer, Susanna (ID: 4378) hat Ehe mit Hofhaimer, Paul (ID: 4377)",8421,4378,4377
"Wall, verh. Ring, Ursula von (ID: 4390) hat Ehe mit Ring, Klaus (ID: 4389)",8446,4390,4389
"Fridung, genannt (alter) Küchenmeister, Konrad (ID: 1268) hat Ehe mit Firmian, verh. Fridung, Agnes von (ID: 4438)",8538,1268,4438
"Yserecker, Agnes (ID: 4444) hat Ehe mit Yserecker, Stefan (ID: 4443)",8550,4444,4443
"Yserecker, Agnes (ID: 4444) hat Ehe mit Yserecker, Stefan (ID: 4443)",8555,4444,4443
"Seibersdorf, verh. Gneus, Cäcilia (ID: 2530) hat Ehe mit Gneus, Vigilius (ID: 2294)",8566,2530,2294
"Schellenberg, Dorothea von (ID: 4452) hat Ehe mit Schellenberg, Clemens von (ID: 3190)",8591,4452,3190
"Kaufmann, Anna (ID: 4460) hat Ehe mit Kaufmann, Jos (ID: 4458)",8634,4460,4458
"Hölzl, Christina (ID: 4466) hat Ehe mit Hölzl, Matthäus (ID: 218)",8652,4466,218
"Uschal, Anna (ID: 4468) hat Ehe mit Uschal, Hans (ID: 4467)",8665,4468,4467
"Has, Katharina (ID: 4472) hat Ehe mit Has, Jakob (ID: 757)",8671,4472,757
"Fröschel, verh. Gundreichinger, Corona (ID: 3203) hat Ehe mit Gundreichinger, Hans (ID: 4579)",8888,3203,4579
"Rasp, verh. Rindsmaul, Dorothea (ID: 2228) hat Ehe mit Rindsmaul, Albrecht (ID: 2227)",8906,2228,2227
"Merwald, Barbara (ID: 4626) hat Ehe mit Merwald, Kaspar (ID: 4624)",9041,4626,4624
"Völseck, N. von (ID: 4653) hat Ehe mit Weineck, Leonhard von (ID: 954)",9119,4653,954
"Ems, verh. Villenbach, Elisabeth von (ID: 1678) hat Ehe mit Villenbach (der Ältere), Klaus von (ID: 4232)",9156,1678,4232
"Starkenberg, verh. Gradner, Veronika von (ID: 4671) hat Ehe mit Gradner, Bernhard (ID: 73)",9170,4671,73
"Jäger, Hans (ID: 2220) hat Ehe mit Pürling, verh. Jäger, Felizitas (ID: 4676)",9200,2220,4676
"Hausmann (Frau des Jakob Hausmann), N. (ID: 4681) hat Ehe mit Hausmann, Jakob (ID: 2388)",9213,4681,2388
"Rotenstein, N. von (ID: 4732) hat Ehe mit Rotenstein, Gerwig von (ID: 4733)",9318,4732,4733
"Rümlang, Barbara von (ID: 2512) hat Ehe mit Rümlang, Hans (Konrad) von (ID: 2511)",9417,2512,2511
