Name,Vorname,Start,End,Alternative Namen,Status,ID,Geschlecht
Arz,Hildebrand von,,,,,2411,männlich
Arz,Marx von,,vor 25.04.1471 <1471-04-24>,,,2412,männlich
Arz,Wilhelm von,,vor 1465-09-04 <1465-09-04>,"Arczt
Artzter
Arczter
Arzter",,9649,männlich
Arzt,Andreas,,,Artzt,Meister,10064,männlich
Arzt,Berthold,,,"Artzt aus der Newenstifft
Artzt",Meister; Doktor,11255,männlich
Arzt,Burkhard,,,"Arczt
Artzt",Meister; Doktor,10395,männlich
Arzt,Christoph,,,Arczt,Meister,10193,männlich
Arzt,Hans,,,"Artzt
Artzet
Arczt",Meister,6290,männlich
Arzt,Hans,,,"Arczt von Trient
Arczt von Triendt
Artzt von Triendt",Meister,9504,männlich
Arzt,Jörg,,,Artzt,Meister,11254,männlich
Arzt,Kaspar,,,Arczt,Meister,10943,männlich
Arzter,N.,,,Artzter,,8482,männlich
Arzt (Frau des Hans Arzt),N.,,,"Maister Hans Artztin
Maister Hanns Artztin",,11289,männlich
"Arzt, genannt Koch",Jörg,,,"Artzt, genant Koch",,11521,männlich
Arzt (von Worms),Hans,,,"Arczt von Würms
Arczt von Wurms",Meister,9986,männlich
Asch,Georg von,,,,,3431,männlich
Asch,Othmar von,,,,,12630,männlich
Asch,Rudolf von,,,,,2486,männlich
Asch,Sigmund von,,,,,2487,männlich
Asch,Veit von,,,,,12040,männlich
Asch,Wolfgang von,,,(Wolf),,2254,männlich
Aschbach,Kaspar,,,"Aspach
Aschpach",Meister,1263,männlich
Asch (Tochter des Veit von Asch),N. von,,,,,12042,weiblich
Asp,Wolfgang,,,Aspan,,9827,männlich
Aspach,Leopold,,,,,8826,männlich
Astaler,Jörg,,,Astaller,,9265,männlich
Astaler,N.,,,Astaller,,8737,männlich
Astronimus,Niklas,,,,Meister,9895,männlich
Atzger,Hans,,,,,4172,männlich
Au,Balthasar von,,,"von Aw
von Aẃ
von Awͤ",,501,männlich
Audorfer,Jörg,,,Audorffer,,13130,männlich
Auer,Barbara,,ca. 18.04.1463 <1463-04-18>,,,2380,weiblich
Auer,Georg,,vor 04.12.1462 <1462-12-03>,,,2427,männlich
Auer,Gilg,,,"Awher
Awer",,10133,männlich
Auer,Hans,,,"Awer
Aúer
Awͤer",,663,männlich
Auer,Heinrich,,vor 28.06.1482 <1482-06-27>,Awer,,2426,männlich
Auer,Jörg,,,"Awer
Awͤer",,830,männlich
Auer,Michael,,vor 31.12.1491 <1491-12-31>,Awer,,131,männlich
Auer,N.,,,,,196,männlich
Auer,Sigmund,,,"Aúer
Awer von Ernkirch
Aúer von Herrnkirch
Awͤer von Ernkirch",,12308,männlich
Auer,Wilhelm,,,Awer,,2267,männlich
Auer (Mutter des Wilhelm Auer),N.,,,Awerin,,7323,weiblich
Aufleger,Jakob,,,,,13059,männlich
Aufleger,Kunz,,,,,12741,männlich
Aufsess,Konrad von,,,"Aufsás
Aufsáss
Aufsas
Auffsass zum Wolkenstain
Auffsass
Aufsatz",,5422,männlich
Augenglitz,Alexander,,,,,7139,männlich
Äugli,Ulrich,,,Owgly,,11926,männlich
Augsburg,Georg von,,,Augspurg,,4961,männlich
Augsburg,Thomas von,,,Augspurg,Meister,11341,männlich
Augsburger,Kaspar,,,Augspurger,Herr,2295,männlich
Aurach,Paul,,,Awrach,,5004,männlich
Aurnheimer,Hans,,,Aurnhaimer,,6450,männlich
Ausgeber,Christoph,,,,,3856,männlich
aus Volkgemoni (?),Friedrich,,,,,10559,männlich
Azala,Emilian,,,"Rabenna
Ravennas
Merged from {other}
Atzala
Doctor Emilianen
Azala Ravennan.
Azala Ravennas
von Ravenna",Doktor der Arznei,4006,männlich
Babenhauser,Georg,,,"Pabenbawser
Pabenhawser
Pabenhauser",,1334,männlich
Babenperger,Christian,,,Babnperger,,11932,männlich
Babrer,Andreas,,,,,10527,männlich
Bachauser,Wolf,,,Pachauser,,10068,männlich
Bachmann,Hans,,,"Pachman
Pachmann",,670,männlich
Bachsberg,Thomas von,,,Pachsperg,,2688,männlich
Baden,Albrecht von,,,"von Niederbaden
Markgraf zu Baden
Graf zu Sponheim
dem jungen margraffen
Markgraf Albrecht von Niederbaden der Jüngere",Herr; Markgraf,377,männlich
Baden,Georg von,,,,,5186,männlich
Baden,Karl von,,,Markgraf von Niederbaden,Markgraf,4100,männlich
Bader,Hieronymus,,,Pader,,8842,männlich
Bader,Konrad,,vor 1485-03-08 <1485-03-08>,Paders,,6584,männlich
Bair,Agnes,,,"Pairin
Paÿrin
Paýrin
Payrin
Bayrin
Bairin",,8899,weiblich
Bair,Andreas,,,Pair,Meister,10000,männlich
Bair,Hans,,,"Pair
Bayrn",,1540,männlich
Bair,Hildebrand,,,,,9218,männlich
Bair,Jakob,,,Bayrer,,5159,männlich
Bair,Konrad,,,Paÿr von Kauffpáwren,,9680,männlich
Bair,Leonhard,,,"Bair von Künigsperg
Pair
Paier
Payer
Baÿer",,746,männlich
Bair,Niklas,,,"Payr
Pair
Paÿer an der Klawsen",,11504,männlich
